Gx,Gy,Tx,Ty,,D6S8S,D7S9S,D2S3S,D4S5S,D2S5S,D3S4S,D6T8T,D7T9T,D2T3T,D4T5T,D2T5T,D3T4T,,FS_1S,FS_1T,FS_2S,FS_2T,FS_3S,FS_3T,FS_4S,FS_4T,FS_5S,FS_5T,FS_6S,FS_6T,FS_7S,FS_7T,FS_8S,FS_8T,FS_9S,FS_9T,FS_Ave_S_G2 [2 3 4 5],FS_Ave_T_G2 [2 3 4 5],FS_Ave_S_G3 [6 7 8 9],FS_Ave_T_G3 [6 7 8 9],FS_Delta_S_G2 [2 3 4 5],FS_Delta_T_G2 [2 3 4 5],FS_Delta_S_G3 [6 7 8 9],FS_Delta_T_G3 [6 7 8 9],PeakMTF_1S,PeakMTF_1T,PeakMTF_2S,PeakMTF_2T,PeakMTF_3S,PeakMTF_3T,PeakMTF_4S,PeakMTF_4T,PeakMTF_5S,PeakMTF_5T,PeakMTF_6S,PeakMTF_6T,PeakMTF_7S,PeakMTF_7T,PeakMTF_8S,PeakMTF_8T,PeakMTF_9S,PeakMTF_9T,Date-Time
0,0,0,0.5,,1,-7.2,-18,2.2,-19.2,-3.4,-2.8,-12,-3.6,1,-18.8,-16.2,,--,0.6,-14.6,13.4,3.4,17,6.8,33.2,4.6,32.2,-4.8,3.6,-7.4,2.2,-5.8,6.4,-0.2,14.2,0,23.9,-4.5,6.6,21.4,19.8,7.2,12,67.9,71.9,59.2,51.6,66.5,42.8,53.8,45.2,65.3,55.2,63.9,67.6,60.8,49.7,58.8,63.5,67.6,60.1,2025/05/22/16:42:08
-0.034,-0.077,-0.43,-0.065,,11.4,20.8,-7.8,-9.8,7.6,25.2,10.2,18.2,10.2,-20.2,9,19,,--,-0.4,3.4,31.4,11.2,21.2,-14,2.2,-4.2,22.4,0.2,10,5.4,15.8,-11.2,-0.2,-15.4,-2.4,-0.9,19.3,-5.3,5.8,25.2,29.2,20.8,18.2,67.7,69.8,62.3,60.4,67.3,43.9,54.6,43.7,66,54.9,64.7,66,60.4,59.2,58.6,59.9,63.6,61.4,2025/05/22/16:42:19
0.039,-0.018,-0.23,0.215,,-0.6,-6.4,-18,7.2,-14.8,-4,-5.8,-8.4,-2,9.8,-10.6,-18.4,,--,-1.4,-14,9.6,4,11.6,8,30,0.8,20.2,-5.2,0.4,-9,2.6,-4.6,6.2,-2.6,11,-0.3,17.8,-5.3,5,22,20.4,6.4,10.6,71,73.6,65.9,59.2,71.1,50.8,61.1,49,68.8,58,66.8,68.8,67.1,63.9,64.1,68,69.8,65,2025/05/22/16:42:30
0.006,-0.046,-0.445,0.37,,-0.4,18.8,-19,7,9,21,-6,15.4,-1.6,8.8,10.6,3.4,,--,-0.4,-2.6,20.2,16.4,21.8,-4.6,18.4,-11.6,9.6,-6,0.4,3.6,13.6,-5.6,6.4,-15.2,-1.8,-0.6,17.5,-5.8,4.6,28,12.2,18.8,15.4,69.3,72.4,64.7,58.1,69.6,49.6,57.6,47,66.6,56.2,65.9,68.8,65.6,61.6,62.9,67.3,68.9,62,2025/05/22/16:42:39
-0.079,0.018,-0.485,-0.465,,24.8,5.8,5.8,-21.8,-5.8,10.2,21.6,2.6,21,-30,-5.8,3.2,,--,-1.2,2.6,29,-3.2,8,-13.4,4.8,8.4,34.8,6.2,14,-3.4,7,-18.6,-7.6,-9.2,4.4,-1.4,19.1,-6.2,4.5,21.8,30,24.8,21.6,69.1,71.2,63.5,60.8,67.5,45.1,56.4,45.1,67.8,56.1,65.7,67.5,62.7,60.2,59.6,60.3,66,63,2025/05/22/16:42:52
0.011,0.015,0.405,-0.31,,26,-19.4,7.2,-20,-29.2,-16.4,21.2,-23,18.4,-21.8,-29.4,-26,,--,-0.6,-8,17,-15.2,-1.4,1.2,24.6,21.2,46.4,7.2,14.4,-15.4,-4.8,-18.8,-6.8,4,18.2,-0.2,21.6,-5.8,5.3,36.4,47.8,26,25,69.8,72.8,62.4,55.5,68,45.1,59.1,46.9,67.6,56.9,65.5,68.8,63.5,56.6,60.8,65.1,69.6,63.3,2025/05/22/16:43:03
0.02,-0.042,0.37,0.335,,3.2,29,-16.4,2.2,18.2,32.4,-3.4,25,-1,9.8,18.8,10,,--,0.4,4.2,28,20.6,29,-11.8,19,-14,9.2,-5.4,3,10.4,17.8,-8.6,6.4,-18.6,-7.2,-0.3,21.3,-5.5,5,34.6,19.8,29,25,66.4,71.1,58.8,48.4,64.5,45.4,53.9,43.4,60.4,52.7,61.5,65.7,61,51.4,58.9,65.4,66.2,55.9,2025/05/22/16:43:14
-0.069,0.014,-0.01,-0.315,,12.8,21.8,-11,-15,1.8,27.8,10.2,17.8,4,-14.6,3.2,13.8,,--,2.2,-0.6,32.4,10.4,28.4,-17.4,14.6,-2.4,29.2,-1.4,11,8,16.2,-14.2,0.8,-13.8,-1.6,-2.5,26.1,-5.4,6.6,27.8,17.8,22.2,17.8,63.8,68.9,52.3,49.1,63.2,39.8,50.7,42.5,61.9,50,60,65.6,56.1,44.3,54.5,59.4,64.6,54.8,2025/05/22/16:43:24
0.059,-0.066,0.09,0.475,,-21.4,-1,-43.8,15,-20,8.8,-20,-7,-21.2,3.4,-17.6,0.2,,--,-0.4,-27.6,8,16.2,29.2,7.4,29,-7.6,25.6,-16,-4,-8.8,3.8,5.4,16,-7.8,10.8,-2.9,22.9,-6.8,6.7,43.8,21.2,21.4,20,64,62.4,57.6,57.4,58.5,41,48.7,36.9,61.8,51.8,61.3,60.4,50.5,53.7,53,47.1,55.9,58,2025/05/22/16:43:37
-0.072,0.019,0.39,0.215,,-19.4,16.2,-44.6,13.4,-6.4,24.8,-20,13.6,-25.6,13.4,-5,7.2,,--,1.8,-21,14.8,23.6,40.4,-1.2,33.2,-14.6,19.8,-17.4,-4,5.8,15.2,2,16,-10.4,1.6,-3.3,27.1,-5,7.2,44.6,25.6,23.2,20,63.5,68.9,51,48.6,63.5,39.1,49.2,41.3,62.4,49.1,59.1,65.5,54.3,42.4,53.5,58.5,63.3,53.8,2025/05/22/16:43:48
-0.027,-0.045,-0.35,0.01,,-27.8,-7,-36.4,25.8,-11.6,-1,-21.8,-1.6,-4.2,7.4,6.6,3.4,,--,-4.2,-24.8,15.2,11.6,19.4,12.6,16,-13.2,8.6,-19.8,-9.4,-16.8,4,8,12.4,-9.8,5.6,-3.4,14.8,-9.6,3.1,37.4,10.8,27.8,21.8,63.9,61.9,62.2,49.3,50.8,49.7,61.4,38.8,58,57.1,57.1,55.1,58,58.1,56.7,53.8,53.6,61.8,2025/05/22/16:44:00
-0.061,0.009,-0.375,-0.225,,-21.4,-1.4,-37,26.8,-8.6,1.6,-25.8,-2.4,-22.2,31,-5.2,-14,,--,-1.8,-20.6,1,16.4,23.2,14.8,37.2,-12,6.2,-16,-9.4,-7,5.2,5.4,16.4,-5.6,7.6,-0.3,16.9,-5.8,5,37,36.2,21.4,25.8,70.6,73.3,66.1,57.9,69.8,51.8,59.5,47.7,67.4,57.7,66.1,68.1,67.7,63.6,64.7,68.4,69.8,64.2,2025/05/22/16:44:09
-0.03,0.026,-0.185,0.07,,32.8,15,12.8,-21.8,7.8,16.8,21.6,14.4,25.4,-13.2,10.6,-1.6,,--,-2.4,11.4,28.6,-1.4,3.2,-18.2,4.8,3.6,18,10.8,12.8,-0.2,12.6,-22,-8.8,-15.2,-1.8,-1.2,13.6,-6.6,3.7,29.6,25.4,32.8,21.6,70.6,71.6,64.9,57.6,67.5,54.1,60.1,48.6,64,54.9,66.3,66.3,67.8,66.5,64.9,66.6,69.4,64.6,2025/05/22/16:44:20
0.03,-0.022,0.375,0.23,,35.6,21.8,15.6,-30.2,10,24.6,32.4,17.6,29,-35.6,8.2,14.8,,--,-0.2,15.4,39,-0.2,10,-24.8,-4.8,5.4,30.8,12,20.2,5.8,15,-23.6,-12.2,-16,-2.6,-1,18.8,-5.5,5.1,40.2,43.8,35.6,32.4,69.2,72.1,63,58.6,68.4,45.1,56.7,46.3,66.4,55.2,64.7,68.8,63,58.6,60.6,63.5,67.5,61.6,2025/05/22/16:44:30
0.063,-0.06,0.26,-0.44,,-30.6,-1.8,-56.2,24.2,-24.8,7.2,-28.4,-6.6,-38.2,10.2,-23.8,4.2,,--,-0.4,-36.4,1.8,19.8,40,12.6,35.8,-11.6,25.6,-21.4,-8.2,-6.4,3.2,9.2,20.2,-4.6,9.8,-3.9,25.8,-5.8,6.2,56.2,38.2,30.6,28.4,64.9,64.6,55.4,57.1,60.5,40.4,48.1,38.6,62.6,49.9,61.2,62.5,50.7,51.4,54,49.4,58.5,57.1,2025/05/22/16:44:42
-0.042,0.073,0.45,0.415,,-30.2,-12.4,-47.8,29.6,-24.8,-6.6,-28.4,-14,-28,17.4,-21.8,-11.2,,--,-1.8,-33.4,-1.8,14.4,26.2,21,37.4,-8.6,20,-20.8,-10,-12.6,0,9.4,18.4,-0.2,14,-1.6,20.5,-6,5.6,54.4,39.2,30.2,28.4,67,67.8,60.8,59.6,63.4,43,53,41.1,65,55.1,64.1,64.8,56.8,56.2,57.1,56,61.2,60.2,2025/05/22/16:44:53
