Gx,Gy,Tx,Ty,,D6S8S,D7S9S,D2S3S,D4S5S,D2S5S,D3S4S,D6T8T,D7T9T,D2T3T,D4T5T,D2T5T,D3T4T,,FS_1S,FS_1T,FS_2S,FS_2T,FS_3S,FS_3T,FS_4S,FS_4T,FS_5S,FS_5T,FS_6S,FS_6T,FS_7S,FS_7T,FS_8S,FS_8T,FS_9S,FS_9T,FS_Ave_S_G2 [2 3 4 5],FS_Ave_T_G2 [2 3 4 5],FS_Ave_S_G3 [6 7 8 9],FS_Ave_T_G3 [6 7 8 9],FS_Delta_S_G2 [2 3 4 5],FS_Delta_T_G2 [2 3 4 5],FS_Delta_S_G3 [6 7 8 9],FS_Delta_T_G3 [6 7 8 9],PeakMTF_1S,PeakMTF_1T,PeakMTF_2S,PeakMTF_2T,PeakMTF_3S,PeakMTF_3T,PeakMTF_4S,PeakMTF_4T,PeakMTF_5S,PeakMTF_5T,PeakMTF_6S,PeakMTF_6T,PeakMTF_7S,PeakMTF_7T,PeakMTF_8S,PeakMTF_8T,PeakMTF_9S,PeakMTF_9T,Date-Time
-0.042,-0.021,-0.13,-0.33,,-7.4,-17,-22.8,11.2,-23.2,-11.6,-8,-11.8,-3.6,6,-13.6,-16,,--,-2.4,-20.8,5.6,2,9.2,13.6,25.2,2.4,19.2,-8,-1.6,-15.4,1.2,-0.6,6.4,1.6,13,-0.7,14.8,-5.6,4.8,34.4,19.6,17,14.6,70,71.7,69.5,64.9,67.3,53.2,64.5,48.8,68.9,61,65.8,67.8,68.3,67.1,64.4,66.2,68.3,67.5,2025/05/22/16:56:08
0.04,-0.064,-0.26,0.235,,-2,28.2,-18.6,7.6,20.6,31.6,-6.4,31.8,1.8,8.4,28.2,18,,--,-3.2,2,23.4,20.6,21.6,-11,3.6,-18.6,-4.8,-5.6,-1.6,7,21,-3.6,4.8,-21.2,-10.8,-1.7,10.9,-5.9,3.3,39.2,28.2,28.2,31.8,71.2,73.2,69.3,66.2,69.8,58,63.8,51.2,70.3,59.8,67.2,69.3,70.1,69.7,66.2,68.5,70,67.3,2025/05/22/16:56:17
0.073,0.07,0.11,0.06,,-32.4,-24.2,-52.2,26.2,-38.8,-12.8,-30.2,-25.6,-32.4,16.4,-36.4,-20.4,,--,-1.6,-42,-8.4,10.2,24,23,44.4,-3.2,28,-22.6,-10,-18.8,-5.2,9.8,20.2,5.4,20.4,-3,22,-6.6,6.3,65,52.8,32.4,30.4,65.9,65.6,58.9,58.7,60.2,40.4,49.8,38.9,64.5,53.8,62.1,64.1,53.2,52.9,54.8,51.7,59.5,59.4,2025/05/22/16:56:29
-0.058,0.062,-0.21,-0.38,,-30.2,7,-44.8,32.6,0.6,12.8,-28.4,10,-22.2,24.4,8.2,6,,--,-3.4,-21,5.2,23.8,27.4,11,21.4,-21.6,-3,-20.4,-13,-4.2,10.2,9.8,15.4,-11.2,0.2,-2,12.8,-6.5,3.2,45.4,30.4,30.2,28.4,70,71.8,68.6,64.4,66.2,55.3,63.1,48.2,68,60.2,64.6,67.2,67.3,66.1,64.7,66.4,66.7,66.8,2025/05/22/16:56:39
0.024,0.01,0.11,0.005,,18,-41.6,-1,-8,-45.6,-36.6,8.8,-36.6,14,-3.8,-37.8,-48,,--,-3.6,-23.2,0.8,-22.2,-13.2,14.4,34.8,22.4,38.6,4,5.8,-29.6,-12.4,-14,-3,12,24.2,-2.1,15.3,-6.9,3.6,45.6,51.8,41.6,36.6,72.1,71.8,65.1,59.2,70.2,57,65,51.5,68.7,56.9,66.2,65.4,70,68.5,66.3,67.5,70.5,69.2,2025/05/22/16:56:49
0.056,0.035,0.45,0.135,,36.6,-36.2,14.8,-24.2,-40,-30.6,26.8,-31.6,24.8,-13.8,-35.2,-46.2,,--,-4,-12.6,9.4,-27.4,-15.4,3.2,30.8,27.4,44.6,14.6,16,-28.6,-9.4,-22,-10.8,7.6,22.2,-2.3,17.4,-7.1,4.5,54.8,60,43.2,33,69,64.4,54.8,48.8,62.9,55.6,57,48.2,58.8,47.5,63.5,53.8,62.1,66.6,63.2,58.4,61,67.2,2025/05/22/16:56:59
0.007,0.034,-0.15,0.325,,-32,22.6,-49,34.8,11.6,25.8,-31.6,21.2,-29,29,14.4,14.4,,--,-1.4,-16.4,8.4,32.6,37.4,6.8,23,-28,-6,-21.4,-13.2,5,15.8,10.6,18.4,-17.6,-5.4,-1.3,15.7,-5.8,3.9,60.6,43.4,32,31.6,68.6,71.1,65.9,62,69.9,49.6,57.1,46.4,67.4,56.9,65.3,67.2,64,62.1,62.7,65.8,66.1,61.5,2025/05/22/16:57:10
0.003,0.054,-0.21,-0.035,,-15.4,32.4,-33,20.4,22.6,35.2,-18.8,30.8,-14.8,19,24.8,20.6,,--,-1.4,-3.2,17.8,29.8,32.6,-5.4,12,-25.8,-7,-13,-7,9.8,20.8,2.4,11.8,-22.6,-10,-1.2,13.9,-5.8,3.9,55.6,39.6,32.4,30.8,70.3,72.8,67.8,63.5,71.2,53.2,59.9,48.2,68.8,58,66.9,69.5,67.4,66.3,64.2,68.2,68.2,63.5,2025/05/22/16:57:19
-0.011,0.03,-0.095,-0.345,,-20.2,-4.8,-33,22.4,-8.8,1.8,-19,2.4,-9.8,12.6,2.4,-0.4,,--,-3.4,-20,8.4,13,18.2,11.2,18.6,-11.2,6,-14.8,-8.8,-11.2,7.2,5.4,10.2,-6.4,4.8,-1.8,12.8,-6.8,3.3,33,12.6,20.2,19,68.9,70.2,68.6,62.8,63.7,55.2,65.1,48.2,67.1,61.1,64.2,65.9,66.7,65.9,63.8,65.2,65.7,66.7,2025/05/22/16:57:29
0.01,0.016,0.08,-0.395,,8.6,-27.8,-11,1.2,-33.4,-23.6,-0.8,-26.8,3.6,10.6,-26.4,-40.6,,--,-2,-20.4,2.2,-9.4,-1.4,14.2,39.2,13,28.6,-0.6,2.8,-21.4,-7,-9.2,3.6,6.4,19.8,-0.7,17.1,-6.2,4.8,34.6,40.6,27.8,26.8,72,72.9,64.1,56.1,69.6,54.3,62,50.2,66.5,55.8,66.2,64.5,68.4,65.7,65.3,68,70.7,66.9,2025/05/22/16:57:39
-0.042,0.015,-0.34,-0.11,,17.6,26.4,-3,-10.6,16.2,29.8,10.4,22.2,10.6,-3.2,15.8,8.4,,--,1.2,9.8,32.8,12.8,22.2,-17,13.8,-6.4,17,1.4,10.6,9,16.4,-16.2,0.2,-17.4,-5.8,-0.2,21.4,-5.8,5.4,29.8,19,26.4,22.2,66.6,71.1,59.1,48.2,65.2,44.9,54.5,44.8,60.2,53.2,61.6,65.7,62.1,51.4,59.3,65.1,67.4,57.1,2025/05/22/16:57:49
-0.067,0.029,0.09,-0.28,,-1.2,-27.2,-19.6,6.4,-35.4,-22.2,-6.2,-27.6,-4.2,7.2,-32.6,-35.6,,--,-1,-24.6,1.2,-5,5.4,17.2,41,10.8,33.8,-5.6,0.6,-19.8,-6.2,-4.4,6.8,7.4,21.4,-0.4,20.4,-5.6,5.6,41.8,39.8,27.2,27.6,70.7,73.8,63.9,56.7,69.8,48.2,59.9,48.2,68.9,57.8,65.9,68.5,65.3,61,64,67.3,70.5,64.9,2025/05/22/16:58:00
-0.006,-0.063,-0.44,0.495,,18.4,-0.6,0.8,-12.2,-6.6,4.8,12.8,7.6,20.4,-12.4,9,1,,--,-3.8,-3,22.4,-3.8,2,-8.6,1,3.6,13.4,4.6,6.4,-9,8.8,-13.8,-6.4,-8.4,1.2,-3,9.7,-6.6,2.5,12.2,21.4,18.4,15.2,69.7,71.1,66.8,64,65.4,58.6,66.9,52.7,70,60.1,65.7,68.3,70.3,67.9,65.2,66.4,69.6,69.3,2025/05/22/16:58:10
-0.074,-0.004,-0.495,0.115,,20.2,-29,2.8,-13.4,-36,-25.4,15,-29,15.6,-14.2,-31.6,-33,,--,-2,-14.2,10.6,-17,-5,8.4,28,21.8,42.2,5.2,10.6,-20.8,-7,-15,-4.4,8.2,22,-0.3,19,-5.6,5.3,38.8,47.2,29,29,71.2,73.7,65.7,60.3,69.7,50,62.8,49.5,69.4,59.5,66.8,68.6,67.9,65.1,64.2,67,70.1,67.4,2025/05/22/16:58:21
0.05,0.022,0.015,0.125,,8.4,-15.2,-8.8,-1.6,-22.8,-12.4,2.8,-16.6,5.4,-1,-19.2,-23.6,,--,-1.2,-13.4,10.6,-4.6,5.2,7.8,28.8,9.4,29.8,-1,5,-13.6,-1.2,-9.4,2.2,1.6,15.4,-0.2,18.6,-5.6,5.4,22.8,24.6,15.2,16.6,71.2,73.9,65.6,58.9,70.6,50.1,61.5,48.7,68.4,58,66.6,68.4,67.8,63.6,64.1,67.9,70.1,65.8,2025/05/22/16:58:32
-0.038,0.054,-0.265,0.095,,-12.8,23.2,-32.4,11.4,6.6,27.6,-13,16.4,-20,7.4,5.2,17.8,,--,0.2,-9.6,17,22.8,37,-4.8,19.2,-16.2,11.8,-13.2,-2,6.8,14.2,-0.4,11,-16.4,-2.2,-1.9,21.3,-5.8,5.2,39,25.2,23.2,16.4,66.4,69.6,58.5,56.7,67.2,42.9,51.8,43.7,64.8,52.8,62,65.9,59,52.6,57.3,60.8,63.8,57.5,2025/05/22/16:58:44
0.013,-0.033,0.395,0.29,,9.2,-14,-4.6,-7,-17.6,-6,10.4,-4.8,22.2,-18,-1.8,-6,,--,-3.8,-11.2,20.4,-6.6,-1.8,-0.6,4.2,6.4,22.2,-0.8,5.4,-16.4,2.2,-10,-5,-2.4,7,-3,11.3,-7.4,2.4,17.6,24,15.6,12,68,68.5,66.2,58.9,59.7,54.7,66,45.3,65.3,61,62.7,64.2,65.8,65.2,61.5,62,64.4,66.8,2025/05/22/16:59:01
-0.058,-0.06,0.185,0.325,,-26.2,13.4,-42.2,25.8,0.2,16.6,-22.6,10.8,-23.4,15.6,1.4,9.2,,--,-0.4,-17.6,10,24.6,33.4,8,24.2,-17.8,8.6,-18.6,-6.8,2,12.8,7.6,15.8,-11.4,2,-0.7,19,-5.1,6,42.4,24.8,26.2,22.6,67,69.4,62.4,60.5,68,45,54.2,43.8,66.2,55.2,64,65.6,61.1,58.8,59.5,61.6,63.8,60.1,2025/05/22/16:59:12
-0.023,-0.013,0.165,0.325,,10,3,-10.6,-9.4,-11.8,8.2,6.6,-3.2,4.6,-12.4,-13.2,-5.4,,--,1.2,-7,21.4,3.6,16.8,-4.6,22.2,4.8,34.6,-1.2,8.6,-1.8,5.4,-11.2,2,-4.8,8.6,-0.8,23.8,-4.8,6.2,11.8,17.8,10,6.6,67.1,71.2,57.3,53.4,65,40.1,52.8,43.4,65,53,63,67.2,58.2,48.9,56.7,60.2,66.1,58.7,2025/05/22/16:59:24
-0.045,-0.074,-0.045,0.025,,-20.6,-2,-38.6,23.8,-12.4,2.4,-22,-2.8,-20.8,17.8,-9.6,-6.6,,--,-2.2,-21.6,4,17,24.8,14.6,31.4,-9.2,13.6,-15.2,-7,-6.6,6,5.4,15,-4.6,8.8,0.2,18.4,-5.2,5.7,38.6,27.4,20.6,22,69.2,71.5,65.5,62.1,68.8,48.6,58,46.5,68.5,58.2,65.4,68.2,63.9,61.1,61.7,64,66.7,63,2025/05/22/16:59:34
-0.049,-0.022,-0.105,-0.4,,-15,6.8,-28.2,16.6,1.2,12.8,-12.8,13,-1.6,6,15.2,10.8,,--,-3.6,-12.6,17.6,15.6,19.2,2.8,8.4,-13.8,2.4,-12,-5.4,-5.2,12,3,7.4,-12,-1,-2,11.9,-6.6,3.3,29.4,16.8,15,17.4,67.7,68.5,66.4,59.2,60.7,54.9,66,47,64.9,60.6,61.8,63.7,65.5,64.3,62.9,64.1,64.3,65.8,2025/05/22/16:59:42
0.058,-0.016,0.205,-0.405,,-36.8,-23.6,-49.8,37.4,-29.2,-16.8,-32.8,-16.2,-27.2,24.8,-17.2,-14.8,,--,-3.6,-37.2,-6.4,12.6,20.8,29.4,35.6,-8,10.8,-22.6,-14.2,-20,-1.2,14.2,18.6,3.6,15,-0.8,15.2,-6.2,4.5,66.6,42,36.8,32.8,68.4,68.1,67.7,62.1,60.4,51.4,63.1,44.9,65.2,59.8,63,63.6,63.5,63.8,61.3,61.1,63.2,65,2025/05/22/16:59:53
-0.063,0.036,0.19,0.475,,31.2,4.4,11,-21.6,-2.2,8.4,23.2,-2.8,22.4,-17,-5,-10.4,,--,1,7.2,31.6,-3.8,9.2,-12.2,19.6,9.4,36.6,8.8,16.2,-1.8,4.2,-22.4,-7,-6.2,7,0.1,24.3,-5.4,5.1,21.6,27.4,31.2,23.2,66.5,70.6,57.2,44.4,62.6,43.6,54.8,44.7,58.9,52.7,61.2,64.6,60.5,48.5,59.4,66.5,68.1,57.1,2025/05/22/17:00:04
-0.032,0.041,0.26,-0.22,,-26,2.8,-45.2,27.4,-9.8,8,-26.6,-1.8,-29.2,24.2,-9,-4,,--,-0.6,-23.6,3,21.6,32.2,13.6,36.2,-13.8,12,-19.2,-9,-3.8,5.6,6.8,17.6,-6.6,7.4,-0.5,20.9,-5.7,5.4,45.2,33.2,26,26.6,68.5,71.5,60.6,58.2,68.5,44.5,54.7,44.3,67.3,55.6,63.9,67.8,61.6,55.9,59.5,62.8,66.3,60.1,2025/05/22/17:00:15
0.047,-0.035,-0.255,0.485,,11.8,13.6,-6,-3.4,6,15.4,4.8,12.6,9.6,0.6,9.6,-0.6,,--,-1.6,1.8,22.2,7.8,12.6,-7.6,13.2,-4.2,12.6,1,5,0.4,12,-10.8,0.2,-13.2,-0.6,-0.6,15.2,-5.7,4.2,15.4,9.6,14.2,12.6,70.3,72.2,66.7,59.9,69.8,53.5,61.4,48.9,67.4,57.4,67,68.6,68.3,66.8,64.7,68.2,70.1,65.1,2025/05/22/17:00:24
-0.023,-0.063,0.06,0.34,,-34.4,10.4,-47.6,35,4.6,17.2,-29.4,16,-20.6,20.8,15.8,15.6,,--,-3.8,-19.6,10.2,28,30.8,10.8,15.2,-24.2,-5.6,-21.8,-13.2,-3,13.8,12.6,16.2,-13.4,-2.2,-1.2,12.7,-6.4,3.6,52.2,36.4,34.4,29.4,67.7,68,66.7,59.8,61,53.3,63,45.6,64.9,59,61.5,62.7,63.5,63.5,62,63.6,62.5,64.3,2025/05/22/17:00:34
0.062,0.044,0.405,0.31,,-39,22.6,-54.8,42.8,14,26,-39.6,24.4,-33.8,40,19,12.8,,--,-2.6,-18.6,4.2,36.2,38,10.2,25.2,-32.6,-14.8,-24.6,-17.2,4.2,17.4,14.4,22.4,-18.4,-7,-1.2,13.2,-6.1,3.9,68.8,52.8,39,39.6,70.1,72.5,69.3,64.9,70.3,53.8,60.8,48.8,69.2,59.2,66.3,69,68.3,66.7,65.5,68.8,68.5,64.7,2025/05/22/17:00:43
0.003,-0.039,0.45,-0.02,,-10.2,17.4,-28.6,10.2,3.8,22.2,-8.8,14.4,-10.2,0.2,5.8,15.8,,--,-1.2,-9.8,18,18.8,28.2,-3.4,12.4,-13.6,12.2,-11.2,-1,2.2,13,-1,7.8,-15.2,-1.4,-2,17.7,-6.3,4.6,32.4,16,17.4,14.4,67.6,68.9,62.6,60,66,46.4,55.1,42.8,65.4,54.8,63.8,65.1,59.7,59.6,59,59.6,62.7,60.6,2025/05/22/17:00:54
0.014,-0.01,0.265,0.01,,-8.4,-30,-22.8,12,-34.6,-23.8,-10.2,-22.2,-2.8,7.2,-21.8,-26.2,,--,-3.2,-27.2,0.4,-4.4,3.2,19.4,29.4,7.4,22.2,-8.2,-3.4,-22.4,-4.4,0.2,6.8,7.6,17.8,-1.2,13.8,-5.7,4.2,46.6,29,30,22.2,69.8,71.2,69,64.6,65.4,55.9,66.4,50.3,69.8,61.5,65.4,67.5,69.2,68.2,64,66.2,68.5,68.4,2025/05/22/17:01:04
0.022,-0.049,0.225,0.125,,11.2,-30.2,-3.4,-7.6,-34.8,-23.8,9,-21.2,18,-10.8,-19.2,-26.4,,--,-3.6,-18.4,9.8,-15,-8.2,8.8,18.2,16.4,29,1.4,5.2,-23.6,-4.8,-9.8,-3.8,6.6,16.4,-2,12.2,-6.3,3.3,34.8,37.2,30.2,21.2,69.8,71.6,67.3,63.4,64.7,57.6,67.5,50.1,69.4,61.3,64.8,67.1,69.5,68.3,64.3,65.7,68.1,68.8,2025/05/22/17:01:14
-0.071,-0.04,0.445,-0.345,,33.4,-29,14.2,-18.8,-30.6,-26,22.2,-30.8,31,-4.8,-25.6,-51.8,,--,-1.4,-8.4,16.8,-22.6,-14.2,3.4,37.6,22.2,42.4,11.2,15,-22.8,-8.2,-22.2,-7.2,6.2,22.6,-1.3,20.7,-6.9,5.5,44.8,56.6,34,30.8,69,67.4,55,38.4,61.4,51.9,56.4,44.3,53.2,48.2,61.2,54.4,61.3,58.9,63.7,64,64.8,62.5,2025/05/22/17:01:25
-0.074,0.078,-0.12,-0.28,,-34.8,-32,-47.6,36.6,-36.8,-25.8,-34.4,-19,-23,31.8,-14.4,-23.2,,--,-4.6,-42.6,-10.6,5,12.4,30.8,35.6,-5.8,3.8,-22,-16.8,-25.2,-3.6,12.8,17.6,6.8,15.4,-3.1,10.3,-6.9,3.2,73.4,46.2,38,34.4,66.8,69.1,64.8,59.5,58.3,57.1,67,50.7,66.4,59.8,60.4,64.1,66.5,61.9,62.1,63.7,66.3,67.2,2025/05/22/17:01:36
0.038,0,0.26,0.395,,-20.6,11.4,-35.8,14.6,3.4,24.6,-16,14.2,-14.4,3.6,8,18.8,,--,-2,-15.2,16,20.6,30.4,-4,11.6,-18.6,8,-16.6,-5.4,-3.8,12.2,4,10.6,-15.2,-2,-4.3,16.5,-7.9,3.8,39.2,22.4,20.6,17.6,65.6,65,62,58.2,60.4,47.4,53.4,39.9,61.4,54.3,61,59.9,54.4,59.4,57.4,55.1,57.9,60.3,2025/05/22/17:01:46
-0.067,0.038,-0.33,-0.175,,-20.6,-6.8,-34.4,21.8,-14,-1.4,-19,-2.6,-13,8.2,-5.4,-0.6,,--,-3.4,-22.2,7.4,12.2,20.4,13.6,21,-8.2,12.8,-15,-6.8,-11.4,4.6,5.6,12.2,-4.6,7.2,-1.2,15.4,-6.3,4.3,35.8,13.6,20.6,19,67.6,67.6,66.1,60.9,61.8,50.6,61,43.9,64.9,58.4,62.9,63.7,63.1,63.1,60.2,60.1,62.4,63.9,2025/05/22/17:01:56
-0.031,0.003,-0.24,-0.42,,-25.4,-25.2,-38.6,27.2,-29.4,-18,-22.8,-17.6,-16.4,14.8,-17.2,-15.6,,--,-3.4,-32.8,-2.4,5.8,14,23.8,29.6,-3.4,14.8,-17.6,-10.2,-21.2,-3.2,7.8,12.6,4,14.4,-1.7,14,-6.8,3.4,56.6,32,29,24.6,68,68.9,67.6,61.8,60.4,52.1,64.5,45.3,65.2,60.2,62.8,64.4,64.6,64.5,61,61.2,63.6,65,2025/05/22/17:02:05
0.058,0.039,0.31,-0.445,,22.6,-36.2,0.8,-14.6,-41.6,-27.8,13.8,-26,7.4,-7.4,-32,-32,,--,-4,-20.4,2,-21.2,-5.4,6.6,26.6,21.2,34,7.8,8,-27.6,-7.4,-14.8,-5.8,8.6,18.6,-3.4,14.3,-6.5,3.3,42.4,39.4,36.2,26,68.6,65.7,56.4,59.2,61.1,53.7,59.4,52.1,65.6,49.4,63.9,59.1,64,66.2,62.9,58.1,64.4,68.1,2025/05/22/17:02:15
0.004,-0.025,0.135,0.285,,35.6,-19.2,17.2,-27.6,-26.2,-15.8,26.4,-19.4,31.4,-23.4,-21,-29,,--,-2.4,-2.6,20.2,-19.8,-11.2,-4,17.8,23.6,41.2,12,15.4,-16.8,-3.2,-23.6,-11,2.4,16.2,-0.7,17,-6.5,4.3,43.4,52.4,35.6,27.2,72.2,74,65.5,58.3,70.4,52.2,63.2,50.9,68.1,57.9,67,68,68.5,66.2,65.5,68.3,71.4,67,2025/05/22/17:02:25
-0.066,-0.056,0.35,-0.48,,-35,-2.2,-46,34.2,-7.6,4.2,-29.6,3.6,-18.2,19,6.6,5.8,,--,-4,-27,7.4,19,25.6,14.8,19.8,-19.4,0.8,-23.6,-13.8,-13,6.2,11.4,15.8,-10.8,2.6,-3.1,13.4,-9,2.7,46,24.8,35,29.6,64.9,63.2,63.7,53.5,53.7,50,61.2,40.5,59.5,57.5,58.4,56.6,58.9,59.7,58.5,56.3,55.2,62.1,2025/05/22/17:02:35
-0.018,-0.07,0.255,0.32,,-35.8,31,-58.2,34,14,38.2,-38.8,29.2,-40.8,39.6,16.8,18,,--,1.8,-17.6,13.8,40.6,54.6,2.4,36.6,-31.6,-3,-25.6,-13.6,12.6,21.4,10.2,25.2,-18.4,-7.8,-1.6,25.5,-5.3,6.3,72.2,57.6,38.2,38.8,63.2,69.2,53.7,47.5,64.4,41.6,50.3,41.3,60.7,51,59.2,64.9,56.9,44.1,55.1,62.5,64.3,52.5,2025/05/22/17:02:46
-0.05,0.018,-0.405,-0.2,,5.8,26.8,-14.4,3.6,19.6,30.4,-3,23.8,1.2,15.6,19.4,2.6,,--,0.2,4.4,24.8,18.8,23.6,-11.6,21,-15.2,5.4,-4.8,1.6,7,16.4,-10.6,4.6,-19.8,-7.4,-0.9,18.7,-7.1,3.8,34,19.4,26.8,23.8,67.1,70.5,59.9,47.5,63.1,48.3,54.6,42.2,58.4,52.9,62.2,64.1,62.6,55.8,61.2,65.1,66.6,57.2,2025/05/22/17:02:56
-0.002,0.061,-0.415,-0.23,,-24.2,18.6,-43.2,22.2,3.2,24.2,-22,13.6,-29.2,15.2,3,17,,--,-0.4,-16.6,10.8,26.6,40,2.4,23,-19.8,7.8,-18.4,-6.8,4.2,12.4,5.8,15.2,-14.4,-1.2,-1.9,20.4,-5.7,4.9,46.4,32.2,24.2,22,66.8,69.3,59.7,58,67.4,44.3,52.3,42.9,65.8,53.3,62.8,65.6,58.7,54.3,57.8,60,63.2,58.6,2025/05/22/17:03:06
0.062,0.018,0.415,0.06,,4.2,1,-15,4.6,-7,3.4,-4.4,-4.8,0,12.2,-5.8,-18,,--,0.2,-7.8,15.2,7.2,15.2,3.8,33.2,-0.8,21,-3.6,2.4,-4.2,4.6,-7.8,6.8,-5.2,9.4,0.6,21.2,-5.2,5.8,15,18,4.2,7,68.3,71.8,60.3,46.8,65.6,47,56.3,44.7,61.1,54.1,62.9,64.4,62.7,54.8,61.5,67.1,68.5,59.9,2025/05/22/17:03:16
-0.07,0.021,0.165,0.145,,-22.4,21.4,-39.2,28,13.2,24.4,-25.2,19.2,-21.2,31.6,16.4,6,,--,-1.6,-11,10,28.2,31.2,3.8,25.2,-24.2,-6.4,-16.6,-9.2,4.4,15.2,5.8,16,-17,-4,-0.8,15,-5.9,4.5,52.4,37.6,22.8,25.2,70.7,72.8,68.4,61.7,70.1,54.8,59.7,48.4,68.4,58.3,66.2,68.8,68.9,66.2,64.6,68.6,68.8,63.6,2025/05/22/17:03:25
0.041,0.075,-0.01,-0.375,,26,-27,9.8,-19.6,-31.2,-21.4,21,-21.4,26.6,-22.2,-22.6,-27,,--,-2.4,-9.4,15.2,-19.2,-11.4,2.2,15.6,21.8,37.8,9,12.2,-20.8,-4,-17,-8.8,6.2,17.4,-1.1,14.3,-5.6,4.2,41,49.2,29.8,26.2,70.5,72.6,68.2,65.2,68.8,55.2,66.3,50.8,70.9,60.8,66.6,69,70.8,68.5,65.1,66.5,69.3,68.7,2025/05/22/17:03:38
-0.076,0.048,0.145,-0.02,,-17.6,-22,-31.2,13.6,-28.8,-11.2,-15,-18.6,-12.6,2.6,-21.8,-11.8,,--,-2.4,-27.4,5.2,3.8,17.8,15,29.6,1.4,27,-13.6,-3.4,-22.4,-2.2,4,11.6,-0.4,16.4,-1.8,19.9,-8.1,5.6,42.4,24.4,26.4,19.8,65.9,64.7,64.1,59.4,56.9,46.8,55.3,39.8,62.5,56.4,61.6,60.4,56.1,60.3,56,52.1,55.3,61.7,2025/05/22/17:03:47
0.075,-0.027,-0.33,-0.47,,29.6,-31.6,10.6,-18.6,-37.6,-29.6,18.2,-32.2,21.6,-4.8,-34,-50.8,,--,-2.8,-13.4,6.6,-24,-15,5.6,35.8,24.2,40.6,8.6,11.6,-24.8,-9.6,-21,-6.6,6.8,22.6,-1.9,17,-7.6,4.5,48.2,55.6,33.4,32.2,70,68.8,58.3,44.5,66.2,53.7,59.7,47.7,59.6,51.2,64,58.7,63.8,63.2,64.6,66.4,67,64.9,2025/05/22/17:03:58
0.039,0.051,0.135,0.235,,14.2,2.4,-5.2,-8.2,-7.4,6,7,-4.8,6.8,-3.4,-7.8,-11.2,,--,0.6,-3.4,21.4,1.8,14.6,-4.2,25.8,4,29.2,0.2,8,-3.4,3.2,-14,1,-5.8,8,-0.4,22.8,-5.8,5,8.2,14.6,14.2,7,67.6,72.4,58.5,47.6,65.2,43.9,55,45.2,62,53.7,62.3,66.1,61.4,50.6,59.5,65.7,68.7,58.4,2025/05/22/17:04:07
0.074,0.004,0.155,-0.44,,19.8,-35.8,1.2,-10.2,-40.6,-31.6,10.4,-29.8,13.2,-3.2,-32,-42,,--,-3.2,-18.2,3.8,-19.4,-9.4,12.2,32.6,22.4,35.8,6.2,7.6,-26.4,-7.8,-13.6,-2.8,9.4,22,-0.7,15.7,-6.1,4.8,41.8,45.2,35.8,29.8,71.9,70.8,62.7,57.9,68.6,58.3,63.2,52,67.2,54,66.1,62.9,68.2,69.5,65.4,66,68.6,68.7,2025/05/22/17:04:17
0.049,0.074,-0.12,0.08,,-40,7.6,-54,40.4,0,13.6,-36.4,12.4,-29.2,31.8,9.6,7,,--,-3.4,-25.2,2.6,28.8,31.8,15.2,24.8,-25.2,-7,-24.6,-16.8,-4,12.4,15.4,19.6,-11.6,0,-1.6,13.1,-6.2,3.8,54,38.8,40,36.4,68.7,70.5,68.2,63.6,65.5,54,62.8,47.8,68.4,59.4,64.4,66,66.1,65.4,64.2,65.8,65.4,64.7,2025/05/22/17:04:26
0.039,0.008,-0.4,0.275,,-30.4,-13.6,-51,29,-29,-7,-29.2,-17.4,-32.8,19.4,-27.6,-14.2,,--,-1,-35.8,-4,15.2,28.8,22.2,43,-6.8,23.6,-20.8,-9,-11.8,-1.4,9.6,20.2,1.8,16,-1.3,22.8,-5.3,6.5,58,47,30.4,29.2,66.2,67.6,58.7,57.4,64.6,40.6,51.4,41.1,65.3,53.8,62.8,65.4,55.8,52.1,56.4,56.4,62.4,59.4,2025/05/22/17:04:37
-0.078,-0.042,0.305,-0.46,,-39.6,-23.8,-51.6,41.6,-29.2,-19.2,-39.2,-14.2,-28.8,36.6,-12.6,-20.4,,--,-3.4,-40.2,-11.6,11.4,17.2,30.6,37.6,-11,1,-24.6,-18.6,-20.2,-1.6,15,20.6,3.6,12.6,-2.3,11.1,-6.6,3.3,70.8,49.2,39.6,39.2,69.6,71.3,68.1,63.4,62.3,57.3,67.4,51.1,68.5,61.2,63.5,66.1,68.1,66,64.1,65.9,67.9,68.4,2025/05/22/17:04:47
0.006,0.058,0.1,0.075,,1.6,-14,-15,5.6,-19.2,-9.8,-5,-7.2,-0.4,6.6,-9.6,-15.8,,--,-3.4,-17,5.8,-2,6.2,7.8,22,2.2,15.4,-3.4,-2,-15.4,2.2,-5,3,-1.4,9.4,-2.3,12.4,-6.3,3.1,24.8,16.2,14,11.4,70.5,71.9,66,64.7,65.8,58.5,64.7,53.3,69.8,57.1,66.2,67.7,70.1,69.3,66.1,65.9,69.8,69.7,2025/05/22/17:04:55
